database_identifier	chemical_formula	smiles	inchi	metabolite_identification	mass_to_charge	fragmentation	modifications	charge	retention_time	taxid	species	database	database_version	reliability	uri	search_engine	search_engine_score	smallmolecule_abundance_sub	smallmolecule_abundance_stdev_sub	smallmolecule_abundance_std_error_sub	YK.RM.1	YK.RM.2	YK.RM.3	YK.RM.4	YK.RM.5	YK.RM.6	YK.RM.7	YK.RM.15	YK.RM.16	YK.RM.17	YK.RM.18	YK.RM.19	YK.RM.20	YK.RM.21	QC1	QC2	QC3	QC4	QC5
				Urocanic acid	139.0504548				304.0675			BiotreeDB									1004668.778	1571666.961	1428163.285	1386286.995	1372689.013	1181344.528	1322395.22	942906.0601	1183346.765	1305714.487	1539575.572	932812.1945	685125.7338	1191315.885	1404213.02	1244865.073	1280853.624	1192879.454	1353275.934
				Diethanolamine	106.0867873				325.848			BiotreeDB									118374071.1	2784643.336	4640467.499	1602975.946	5637440.807	4261691.249	21858851.7	2671573.444	3226659.555	2623835.352	3546279.554	47595724.92	5318418.259	4314003.581	16674136.83	13656915.02	13474166.41	13175017.12	12511925.39
				Nor-psi-tropine	128.1074184				269.12			BiotreeDB									10058644.78	6659417.442	7665155.661	2813205.904	7240227.997	13004007.18	3632826.63	3362195.177	5818899.541	4822889.511	8072496.077	8220480.371	4705908.591	175813296	16480114.75	15419772.79	16799360.72	14074421.11	14417329.36
				Acetylcholine	146.1175919				394.439			BiotreeDB									9852080.585	5389193.289	6108277.942	7567362.028	8953503.777	7580958.875	2335296.533	9775984.266	14055155.39	8604097.163	9923112.329	2666682.713	8568238.882	6263304.967	7038311.849	6324384.126	7591020.043	7773850.509	6199448.929
				Ophthalmic acid	290.1346379				405.606			BiotreeDB									23119178.22	4652153.249	18046129.08	5974287.32	20861228.3	15682514.13	9073110.495	3528490.726	4131070.792	1316763.651	3141715.723	14163084.92	3796599.782	10834045.17	15205112.01	16735613	17221261.44	16307213.56	15511215.8
				Trimethyl-2-propenylpyrazine	163.1233098				188.19			BiotreeDB									3280401.085	1410308.401	3725505.777	2166207.495	2927428.275	1354240.62	2531903.068	6378046.283	3567443.14	9427986.61	4793109.957	3812888.465	2932843.203	3613934.436	5943649.93	5356730.818	4478405.72	2577816.091	2904031.436
				Picolinic acid	128.0708641				400.355			BiotreeDB									24013880.12	7332723.143	19836107.43	20853628.93	11811370.62	18053881.98	16456325.29	13748264.23	3917308.331	25320724.27	3775013.417	8413302.165	16493976.88	3358035.09	45970298.12	48868869.11	42084414.07	45741704.89	39190401.96
				Creatine	132.0769008				364.782			BiotreeDB									15630233.41	14451300.12	16289931.68	1877790.607	22657254.49	18851841.22	1323294.747	1014882.181	779259.9898	1043604.139	1012615.331	1082524.38	922685.2407	1021726.652	7730601.085	7050009.131	7113244.634	6384507.575	6781625.247
				Olomoucine	299.1601068				420.873			BiotreeDB									110232427.4	0	0	0	0	0	0	0	0	0	0	0	0	0	6145543.586	5337623.062	5167377.019	5045908.247	4781004.474
				2-Amino-5-phenylpyridine	171.0916979				50.4377			BiotreeDB									50481420.47	42560173.04	51065538.01	35626678.44	43113954.34	46903113.76	50965454.78	251637200.8	14552204.92	102919433	37049702.28	26445788.39	2447626.284	118627679.8	79067907.65	90583755.67	71558661.97	86783587.32	72105401.85
				Kynurenic acid	190.0499851				197.867			BiotreeDB									4245649.654	4697445.216	9255357.842	4533459	3736110.66	6577159.959	1347166.296	281350.403	314026.479	294217.3623	313360.6077	98856.25312	196515.3324	234628.6082	3960392.623	3429045.069	3853882.727	3797895.784	3995172.984
				"2,3-Dihydrobenzofuran"	121.0651306				241.824			BiotreeDB									2127222.425	6592151.227	10097911.14	4951784.951	3742638.218	3306065.482	3054176.478	8779627.225	5396959.016	6257685.366	6379983.366	1098747.571	5574467.324	6470485.743	5256213.697	4689720.778	4927896.266	4375273.27	4986849.965
				N-Alpha-acetyllysine	189.1235355				405.195			BiotreeDB									15777005.15	2922108.086	3715672.135	4310117.782	3119777.469	11458708.14	3589838.768	1829612.491	2033401.74	3619963.051	2028775.451	972379.7623	2021293.245	5634306.605	2853002.509	2759813.117	3069397.674	2649684.024	2622309.572
				1-nitronaphthalene	174.0552134				191.7525			BiotreeDB									491659829.9	97044729.59	82299137.09	28200440.37	80982312.63	113193394.4	196986071.2	49825905.64	139514733.8	81866309.45	40668133.66	862864214	125120204.5	324487.3605	247976643.9	231220638.1	221317640.5	214471059.6	223442010.6
				Valyl-Isoleucine	231.1705496				391.553			BiotreeDB									1729639.909	1578109.339	2368216.249	1376464.839	2441131.16	1912137.525	575472.2991	244789.0126	358531.5404	184272.8166	441280.0312	72959.33445	245676.4772	369830.0183	1237946.403	1173787.562	1227765.169	1225221.08	1213426.808
				Stearidonic acid	277.2162424				60.6736			BiotreeDB									14146956.16	12547777.55	11338606.44	8077275.184	11022192.34	50724417.4	29068947.06	2440106.128	1877585.259	1993407.265	1783152.401	1768181.151	2109005.841	2005452.086	15389424.2	12868880.34	12029476.82	11277939.65	11540721.45
				Glutaminylhydroxyproline	260.1242522				362.523			BiotreeDB									16495323.41	17462474.49	12839334.93	12637031.56	20479796.45	21439717.37	8098306.911	12387274.93	9233645.885	10003071.87	10613885.3	2917724.155	12206600.72	10034428.7	13922394.36	13479088.88	12813867.96	12640364.67	13208476.81
				Trimethylaminoacetone	116.1074403				297.3275			BiotreeDB									18249186.4	6487736.622	62385983.09	5282426.658	11070555.36	7730069.868	1528388.707	9990012.635	5225850.381	9191505.891	6250952.896	1018464.144	6616202.034	11799967.41	25290186.95	28749851.02	31145814.42	29529750.52	29281855.54
				5-Hexyltetrahydro-2-furanoctanoic acid	299.2580219				59.2667			BiotreeDB									12970402.46	19603953.63	28710894.07	10020072.73	22056974.12	15084026.95	10144501.7	9603306.49	11016217.68	7352791.545	9977881.379	5093979.625	7937330.501	11124796.43	17070671.61	18039624.1	18194390.49	18210658.68	18430711.17
				6-Hydroxy-1H-indole-3-acetamide	191.0816998				68.94485			BiotreeDB									9238052.932	5904184.244	5296747.385	7475845.494	7325607.302	7608020.372	2050300.029	12956116.34	9098894.943	10661823.59	11603148.79	2959367.383	11355886.58	11904990.69	6583623.573	8199277.963	7578223.181	6998099.413	7334411.482
				"3alpha,4,7,7alpha-Tetrahydro-4-hydroxy-1H-isoindole-1,3(2H)-dione"	168.0655615				63.30935			BiotreeDB									4024685.982	7772482.295	6469352.077	4537850.871	10446672.8	8312253.662	2721940.541	35964121.4	48375311.2	12833669.82	33189081.04	3609030.418	36803587.33	26405100.87	38423332.97	16868620.02	15979472.66	15882581.64	15991565.93
